vaka_yeni;vaka_toplam;olum_yeni;olum_toplam;iyilesen_yeni;iyilesen_toplam;entube;test_yeni;test_toplam;tarih;vaka_gun
1;1;0;0;;;;;;2020-03-11;1
0;1;0;0;;;;;;2020-03-12;2
4;5;0;0;;;;;;2020-03-13;3
1;6;0;0;;;;;;2020-03-14;4
12;18;1;1;;;;;;2020-03-15;5
29;47;0;1;;;;;;2020-03-16;6
41;98;1;2;;;;;8002;2020-03-17;7
93;191;2;3;;;;2015;10017;2020-03-18;8
168;359;1;4;;;;1981;11998;2020-03-19;9
311;670;5;9;;;;3656;15624;2020-03-20;10
277;947;13;21;;;;2952;18604;2020-03-21;11
289;1236;9;30;;;;1738;20345;2020-03-22;12
293;1529;7;37;;;;3672;24017;2020-03-23;13
343;1872;7;44;;26;102;3952;27969;2020-03-24;14
561;2433;15;59;;;;5035;33004;2020-03-25;15
1196;3629;16;75;;;;7286;40290;2020-03-26;16
2069;5698;17;92;16;42;241;7533;47823;2020-03-27;17
1704;7402;16;108;28;70;309;7641;55464;2020-03-28;18
1815;9217;23;131;35;105;394;9982;65446;2020-03-29;19
1610;10827;37;168;57;162;523;11535;76981;2020-03-30;20
2704;13531;46;214;81;243;622;15422;92403;2020-03-31;21
2148;15679;63;277;90;333;692;14397;106799;2020-04-01;22
2456;18315;79;356;82;415;783;18757;125556;2020-04-02;23
2786;20921;69;425;69;484;867;16160;141716;2020-04-03;24
3013;23934;76;501;302;786;909;19664;161380;2020-04-04;25
3135;27069;73;574;256;1042;935;20065;181445;2020-04-05;26
3148;30217;75;649;284;1326;966;21400;202845;2020-04-06;27
3892;34109;76;725;256;1582;987;20023;222868;2020-04-07;28
4117;38226;87;812;264;1846;995;24900;247768;2020-04-08;29
4056;42282;96;908;296;2142;1017;28578;276338;2020-04-09;30
4747;47029;98;1006;281;2423;1062;30864;307210;2020-04-10;31
5138;52167;95;1101;542;2965;1021;33170;340380;2020-04-11;32
4789;56956;97;1198;481;3446;978;35720;376100;2020-04-12;33
4093;61049;98;1296;511;3957;1063;34456;410556;2020-04-13;34
4062;65111;107;1403;842;4799;1087;33070;443626;2020-04-14;35
4281;69392;115;1518;875;5674;1052;34090;477716;2020-04-15;36
4801;74193;125;1643;1415;7089;1040;40427;518143;2020-04-16;37
4353;78546;126;1769;1542;8631;1014;40270;558413;2020-04-17;38
3783;82329;121;1890;1822;10453;1054;40520;598933;2020-04-18;39
3977;86306;127;2017;1523;11976;1031;35344;634277;2020-04-19;40
